sigma_v_mV_RMS,sigma_i_mA_RMS,seed,pre_projection_C_F,pre_projection_ESR_Ohm,C_est_F,C_MAPE_percent,ESR_est_Ohm,ESR_MAPE_percent,edge_fit_rejection_rate,status,noise_type
50,0.1,1,0.000111537964819982,0.0331008520100448,0.000100058840469167,0.0588404691672206,0.0419580516217707,16.0838967564586,0.0135135135135135,FAIL,analog_only
50,0.1,2,0.0001097638507784,0.0380573835607572,9.61977608685795e-05,3.8022391314205,0.0488332118771663,2.33357624566742,0.0135135135135135,FAIL,analog_only
50,0.1,3,8.34112295593756e-05,0.0254774978493086,9.64307027499092e-05,3.56929725009076,0.0492181459909345,1.56370801813105,0.0135135135135135,FAIL,analog_only
50,0.1,4,0.000123116566497307,0.0646479354354996,0.000100949251157652,0.949251157652142,0.0480434707275102,3.9130585449797,0.027027027027027,PASS,analog_only
50,0.1,5,9.09798044141171e-05,0.0665489562141705,0.00010042180112826,0.421801128260002,0.0502682271039522,0.536454207904313,0.0337837837837838,PASS,analog_only
50,0.1,6,0.000117834627219513,0.0705197283345024,0.000100005519492732,0.00551949273186469,0.0545391553428195,9.07831068563894,0.0135135135135135,FAIL,analog_only
50,0.1,7,0.000135478524053184,0.0365303235322373,0.000114997940776452,14.997940776452,0.0505789340967867,1.15786819357331,0.0067567567567568,FAIL,analog_only
50,0.1,8,0.000120100707144925,0.0402686224426806,0.000108074869983353,8.07486998335287,0.0460406273149129,7.91874537017416,0.0135135135135135,FAIL,analog_only
50,0.1,9,8.34142272311891e-05,0.0701906476500029,0.000102116431554925,2.11643155492509,0.0511902840295209,2.38056805904188,0.0202702702702703,PASS,analog_only
50,0.1,10,0.000119272958161699,0.0616771863881029,0.000105829335153604,5.82933515360375,0.0525518416136012,5.10368322720232,0.027027027027027,FAIL,analog_only
50,0.1,11,0.000118841555792593,0.0341805624794279,9.80178318920214e-05,1.98216810797862,0.0478722878628496,4.2554242743008,0.0135135135135135,PASS,analog_only
50,0.1,12,8.84969884685818e-05,0.0616969123062883,9.95553451415279e-05,0.444654858472138,0.0522442178603868,4.48843572077358,0.0067567567567568,PASS,analog_only
50,0.1,13,8.52826399537921e-05,0.0342163582136296,9.51051608997838e-05,4.89483910021624,0.0532765159194005,6.553031838801,0.0067567567567568,FAIL,analog_only
50,0.1,14,8.3995880663108e-05,0.0373757207893476,0.000102370947951957,2.37094795195714,0.052654594773087,5.30918954617401,0.0202702702702703,FAIL,analog_only
50,0.1,15,7.95585269304596e-05,0.0618502975804504,9.6653635418969e-05,3.34636458103099,0.0477128118089164,4.57437638216713,0.0135135135135135,FAIL,analog_only
50,0.1,16,0.00010935755961497,0.0410548706370751,9.49245498681724e-05,5.0754501318276,0.0529740223018877,5.94804460377538,0.0067567567567568,FAIL,analog_only
50,0.1,17,0.000115448035358043,0.0417095950273,9.76361612722806e-05,2.36383872771939,0.0446159342474449,10.7681315051103,0.027027027027027,FAIL,analog_only
50,0.1,18,0.000115654413992403,0.0423652984437593,0.000102742235941321,2.74223594132073,0.0463942442533991,7.21151149320186,0.0405405405405406,FAIL,analog_only
50,0.1,19,0.00011466974734452,0.0403232343491581,9.30836695883433e-05,6.91633041165672,0.0468871476919153,6.22570461616935,0.0135135135135135,FAIL,analog_only
50,0.1,20,0.000108961485168874,0.0410891371228795,0.000104707292566972,4.70729256697175,0.0517597824077748,3.51956481554965,0.0067567567567568,FAIL,analog_only
