voltage_architecture,architecture_name,ADC_mode,nominal_bits,ENOB,fs_adc_Hz,operating_case,C_F,ESR_Ohm,LSB_edge_plant_V,LSB_C_plant_V,ESR_edge_codes,C_charge_window_codes,RMS_noise_codes,ESR_code_risk,C_code_risk,edge_plant_span_V,C_plant_span_V,vT_baseline_V,separate_edge_channel
V1,wide_range_vT,native_16bit_slow,16,13.5,1100000,high_load,9e-05,0.075,0.00152590218966964,0.00152590218966964,252.009250749887,160.270933837076,1.63299316185545,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8106183400511,0
V1,wide_range_vT,native_16bit_slow,16,13.5,1100000,high_load,9e-05,0.1,0.00152590218966964,0.00152590218966964,336.012334333183,160.270933837076,1.63299316185545,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8106183400511,0
V1,wide_range_vT,native_16bit_slow,16,13.5,1100000,high_load,0.0001,0.05,0.00152590218966964,0.00152590218966964,168.006167166591,144.243840453368,1.63299316185545,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8106183400511,0
V1,wide_range_vT,native_16bit_slow,16,13.5,1100000,high_load,0.0001,0.075,0.00152590218966964,0.00152590218966964,252.009250749887,144.243840453368,1.63299316185545,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8106183400511,0
V1,wide_range_vT,native_16bit_slow,16,13.5,1100000,high_load,0.0001,0.1,0.00152590218966964,0.00152590218966964,336.012334333183,144.243840453368,1.63299316185545,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8106183400511,0
V1,wide_range_vT,native_16bit_slow,16,13.5,1100000,high_D,8e-05,0.05,0.00152590218966964,0.00152590218966964,526.104967511711,529.492830513686,1.63299316185545,CANDIDATE_GE16,CANDIDATE_GE16,100,100,68.3499448770754,0
V1,wide_range_vT,native_16bit_slow,16,13.5,1100000,high_D,8e-05,0.075,0.00152590218966964,0.00152590218966964,789.157451267566,529.492830513686,1.63299316185545,CANDIDATE_GE16,CANDIDATE_GE16,100,100,68.3499448770754,0
V1,wide_range_vT,native_16bit_slow,16,13.5,1100000,high_D,8e-05,0.1,0.00152590218966964,0.00152590218966964,1052.20993502342,529.492830513686,1.63299316185545,CANDIDATE_GE16,CANDIDATE_GE16,100,100,68.3499448770754,0
V1,wide_range_vT,native_16bit_slow,16,13.5,1100000,high_D,9e-05,0.05,0.00152590218966964,0.00152590218966964,526.104967511711,470.660293789943,1.63299316185545,CANDIDATE_GE16,CANDIDATE_GE16,100,100,68.3499448770754,0
V1,wide_range_vT,native_16bit_slow,16,13.5,1100000,high_D,9e-05,0.075,0.00152590218966964,0.00152590218966964,789.157451267566,470.660293789943,1.63299316185545,CANDIDATE_GE16,CANDIDATE_GE16,100,100,68.3499448770754,0
