fs_adc_Hz,adc_bits,afe_order,afe_fc_v_Hz,afe_fc_i_Hz,phase_accuracy_pass_fraction,phase_robust_alias_pass_fraction,worst_C_MAPE_percent,worst_ESR_MAPE_percent,worst_alias_ratio_dB,minimum_points_per_side
1600000,14,1,3000000,2000000,1,1,1.06856757264258,1.57595940143209,-24.5319855256996,3
1600000,14,2,250000,250000,0,0,5.8072793979278,96.0035556835282,-41.3944597900758,3
1600000,14,2,250000,500000,0,0,2.58191853732702,95.5577285070719,-40.941498682637,3
1600000,14,2,250000,1000000,0,0,3.24999827862873,95.2732271827727,-40.3129335157713,3
1600000,14,2,250000,2000000,0,0,2.26711354591967,96.4093647528458,-39.8069372280732,3
1600000,14,2,500000,250000,0,0,21.039875475729,33.2444770047351,-38.1905151425837,3
1600000,14,2,500000,500000,0,0,13.7433381730463,32.8138888103351,-38.1905151425837,3
1600000,14,2,500000,1000000,0,0,13.3492418383244,32.8115215859759,-38.1905151425837,3
1600000,14,2,500000,2000000,0,0,13.1395036808714,32.3173541687124,-38.1905151425837,3
1600000,14,2,1000000,250000,0,0,15.5810903713666,0.410531199203512,-29.3443806313527,3
1600000,14,2,1000000,500000,0,0,10.5299674255823,2.25696098244201,-29.3443806313527,3
1600000,14,2,1000000,1000000,0,0,9.85056096828589,1.86470886637053,-29.3443806313527,3
1600000,14,2,1000000,2000000,0,0,9.33014860370378,1.30912306641067,-29.3443806313527,3
1600000,14,2,1500000,250000,0,0,4.57411904808513,0.713417783788084,-26.5584261300857,3
1600000,14,2,1500000,500000,1,1,2.92495401676285,1.63401456166314,-26.5584261300857,3
1600000,14,2,1500000,1000000,1,1,2.96799935349092,1.57986683762843,-26.5584261300857,3
1600000,14,2,1500000,2000000,1,1,2.13668670241576,1.71736808629395,-26.5584261300857,3
1600000,14,2,2000000,250000,0,0,4.25386810430948,1.43012862169508,-25.3995343513497,3
1600000,14,2,2000000,500000,1,1,2.19277724199745,1.00935916531175,-25.3995343513497,3
1600000,14,2,2000000,1000000,1,1,1.9053169184517,0.262176104303624,-25.3995343513497,3
