operating_case,Vin_V,D,Rload_Ohm,ESL_nH,jitter_rms_ns,absolute_voltage_delay_ns,seed_count,pass_probability,C_MAPE_mean_percent,C_MAPE_p95_percent,ESR_MAPE_mean_percent,ESR_MAPE_p95_percent,NEES_param_mean,CI_C_95_coverage,CI_ESR_95_coverage,meets_95_percent_boundary
low_CCM_margin,24,0.4,35,1,20,300,20,0,6.42310036001517,14.0229174762537,6.08432598439091,7.9561011072046,22.5115075161794,0.5,0.2,0
low_CCM_margin,24,0.4,35,1,20,400,20,0,5.8212323304366,12.5782557882071,11.5112399055326,13.5544348939561,43.2828332763568,0.5,0,0
low_CCM_margin,24,0.4,35,1,20,500,20,0,7.86993443090792,16.50627475355,22.4955082832258,33.5987440204061,117.089493950797,0.5,0,0
low_CCM_margin,24,0.4,35,1,50,0,20,1,0.865719205754749,2.32888493429982,0.636501553452489,1.60384598818614,0.677442238862197,1,1,1
low_CCM_margin,24,0.4,35,1,50,50,20,1,1.08404824499561,2.28708110672234,1.22999698421339,2.38392978136761,0.891741497921349,1,1,1
low_CCM_margin,24,0.4,35,1,50,100,20,0.7,1.82509324232831,4.98645650350259,2.19110088359949,3.70546820895431,2.58900637580205,0.85,1,0
low_CCM_margin,24,0.4,35,1,50,150,20,0.55,2.53762305365754,6.27926235910977,3.32446348158797,4.67489055173268,5.11159676621986,0.6,0.95,0
low_CCM_margin,24,0.4,35,1,50,200,20,0.25,5.10216836433776,10.8747331586626,4.70624904129244,6.66013982038869,14.2596909762902,0.5,0.6,0
low_CCM_margin,24,0.4,35,1,50,250,20,0.1,5.95945573669454,12.5508431577804,5.14287880088227,7.69065191501308,19.6607812491306,0.5,0.4,0
low_CCM_margin,24,0.4,35,1,50,300,20,0,4.83385477408981,10.9966932116788,6.42304978082305,8.10685804223157,16.5321233694369,0.5,0.05,0
low_CCM_margin,24,0.4,35,1,50,400,20,0,3.03122376794718,7.89704524294368,11.7393089446921,14.1581713191414,28.7163806316716,0.6,0,0
low_CCM_margin,24,0.4,35,1,50,500,20,0,7.64151956783345,17.7693047777554,20.7310879002743,30.8327324386326,104.504333621973,0.5,0,0
nominal,24,0.4,10,10,0,0,20,1,0.398069352888955,1.27291201453348,0.498430713685941,0.844568864980544,1.43490943245888,1,1,1
nominal,24,0.4,10,10,0,50,20,1,0.485017630529941,0.98113490392519,1.12753329579568,2.15746379543643,4.40638188972601,1,0.55,1
nominal,24,0.4,10,10,0,100,20,1,0.848839890117397,1.68879768058673,1.84543183242275,3.0618739520668,8.61185747475731,1,0.4,1
nominal,24,0.4,10,10,0,150,20,0.55,2.0868919659504,4.34422907191542,2.72102462911547,3.86359885635124,24.4149044568039,0.5,0,0
nominal,24,0.4,10,10,0,200,20,0.45,3.49071975959412,7.23643384938478,3.49554037260152,5.05604156353928,50.9724231529549,0.5,0,0
nominal,24,0.4,10,10,0,250,20,0,4.8404600277259,10.6818254550023,4.23872077634839,6.35207963778003,81.9776541921153,0.5,0,0
nominal,24,0.4,10,10,0,300,20,0,5.7248514496943,11.5480762079273,4.96443576711251,7.30014742102043,102.530335619138,0.5,0,0
nominal,24,0.4,10,10,0,400,20,0,3.37268659827592,10.3503473054362,9.32704824610985,9.69468060107324,184.297830341508,0.55,0,0
nominal,24,0.4,10,10,0,500,20,0,2.99030206194879,6.5692856544357,20.7995818279091,30.5514294894774,310.460105726091,0.5,0,0
nominal,24,0.4,10,10,20,0,20,1,0.391197744414645,1.16598910467327,0.525886295446701,1.00242228247013,1.47800015232874,1,1,1
nominal,24,0.4,10,10,20,50,20,1,0.463585363577311,1.07892538165534,1.11202541275138,2.17059867823802,3.76693051101373,1,0.55,1
nominal,24,0.4,10,10,20,100,20,1,0.970131068298711,1.91534105217067,1.82573031218789,2.95805111557206,9.25105234681131,0.95,0.4,1
nominal,24,0.4,10,10,20,150,20,0.5,2.08269155547263,4.14603723907944,2.64895782626365,3.7653121937868,24.1028642128158,0.5,0,0
nominal,24,0.4,10,10,20,200,20,0.4,3.48462243809007,7.28285127724444,3.53430141223543,5.274174305874,52.9130184075569,0.5,0,0
nominal,24,0.4,10,10,20,250,20,0,4.73255299595088,10.407306653667,4.23155507893322,6.20674403104949,75.3326484925194,0.5,0,0
nominal,24,0.4,10,10,20,300,20,0,4.92019122553436,10.822190599751,5.13014724115885,7.29748759590504,95.7006146636322,0.5,0,0
nominal,24,0.4,10,10,20,400,20,0,1.29976683358213,3.19506499770421,9.24131569018282,9.97251242210535,154.199411701866,0.65,0,0
nominal,24,0.4,10,10,20,500,20,0,2.84440977417774,6.24360955203192,19.9325090440118,29.7084404890841,297.668622389657,0.5,0,0
nominal,24,0.4,10,10,50,0,20,1,0.433105997031719,1.04142134894114,0.514773462707638,1.06517407009873,1.7425367650886,1,0.95,1
nominal,24,0.4,10,10,50,50,20,1,0.570214315914808,1.80905742774032,1.02333623169225,2.11879292618963,3.71520498180995,0.9,0.6,1
nominal,24,0.4,10,10,50,100,20,1,1.17711393249357,2.34397277481199,1.71243767623309,2.72599658166639,9.89059070323216,0.7,0.45,1
nominal,24,0.4,10,10,50,150,20,0.55,2.23264503290194,4.76129753921924,2.67303967200489,3.90360814260162,26.5307377031187,0.5,0.05,0
nominal,24,0.4,10,10,50,200,20,0.4,3.39777336172041,7.8218009166079,3.53215351095431,5.40351841856432,51.3002566956985,0.5,0,0
nominal,24,0.4,10,10,50,250,20,0,4.26368306857487,9.33097331084613,4.28515923192263,6.12027946798525,69.3449158489329,0.5,0,0
nominal,24,0.4,10,10,50,300,20,0,3.99244664249519,9.49633661791978,5.27579024125152,7.13745950937569,81.3158995184296,0.5,0,0
nominal,24,0.4,10,10,50,400,20,0,0.439534734412997,1.29855749260498,8.87742463843854,9.97046732973453,134.347099217036,1,0,0
nominal,24,0.4,10,10,50,500,20,0,2.36608200332237,5.71205868613188,18.1082918042477,28.8848478414869,256.190657641255,0.5,0,0
high_load,24,0.4,5,10,0,0,20,1,0.357438552630386,0.809378912537423,0.355918066245023,0.547824166316468,2.96361086753471,1,1,1
high_load,24,0.4,5,10,0,50,20,1,0.317372505795869,0.769192483940534,0.974915291712087,1.63009964348324,7.21262848574735,1,0.5,1
high_load,24,0.4,5,10,0,100,20,1,0.838990631014677,1.66355127010193,1.84930780913888,2.59454486302516,16.0344035987889,0.75,0,1
high_load,24,0.4,5,10,0,150,20,0.5,1.97537893389749,4.12135459975081,2.70449923005182,3.69350355739614,43.4802161587862,0.5,0,0
high_load,24,0.4,5,10,0,200,20,0.95,0.644552005473753,3.21624096287788,3.379425867478,4.82775544292705,56.1779153363369,0.9,0,1
high_load,24,0.4,5,10,0,250,20,0.5,0.415929866378464,1.05911978364343,4.01712428081503,5.80076568333258,67.7487145144352,1,0,0
high_load,24,0.4,5,10,0,300,20,0.5,0.299120730840312,0.751000601831364,4.87308392204533,6.93635778166786,95.6860077227434,1,0,0
high_load,24,0.4,5,10,0,400,20,0,0.277384156401921,0.71193094111292,9.07243424897715,9.45932247627823,234.064658577876,1,0,0
high_load,24,0.4,5,10,0,500,20,0,2.11256039789897,4.3642924948015,20.482444864798,30.1698889832266,401.742025960023,0.5,0,0
high_load,24,0.4,5,10,20,0,20,1,0.302350363291166,0.731223802526199,0.381096872551332,0.657153173556169,2.68900610629829,1,1,1
high_load,24,0.4,5,10,20,50,20,1,0.336400258910447,0.550861006162717,0.942167632340652,1.6649954954477,6.36316383223486,1,0.5,1
high_load,24,0.4,5,10,20,100,20,1,0.958670601353931,2.00453444471014,1.83768442936742,2.72241226593853,16.5534561727399,0.6,0,1
high_load,24,0.4,5,10,20,150,20,0.55,1.99662395474561,4.26665537162383,2.68702961745306,3.73895689467839,43.1829458772533,0.5,0,0
high_load,24,0.4,5,10,20,200,20,0.8,1.69860519951201,7.70041476481271,3.39334589406118,4.85770144788383,64.4045900401363,0.7,0,0
high_load,24,0.4,5,10,20,250,20,0.45,1.03634106395318,7.36787747053763,4.02043104704507,5.82490822006998,78.4926168485567,0.9,0,0
high_load,24,0.4,5,10,20,300,20,0.45,0.989155882305006,6.73346418260338,4.95280072961001,6.84401219437247,101.264139404275,0.95,0,0
high_load,24,0.4,5,10,20,400,20,0,0.41651251920771,1.110771125701,8.78185357570661,9.28843112846713,218.432478380188,1,0,0
high_load,24,0.4,5,10,20,500,20,0,1.9986030655958,4.34185039225961,19.414816112931,29.1530281627221,382.003577624929,0.5,0,0
high_load,24,0.4,5,10,50,0,20,1,0.228830133271296,0.665680135098645,0.433101697173561,0.779558782545697,2.42772455970015,1,0.95,1
high_load,24,0.4,5,10,50,50,20,1,0.428620639307504,0.828457850662945,0.958872005790864,1.73459110200556,5.91571674262937,1,0.5,1
high_load,24,0.4,5,10,50,100,20,0.95,1.10009088185483,2.82744265644824,1.76559683053323,2.5780931811292,15.0449909688389,0.5,0.05,1
high_load,24,0.4,5,10,50,150,20,0.65,1.92013912642449,4.12412054505872,2.67304409080892,3.76506506442166,41.5035396176515,0.5,0,0
high_load,24,0.4,5,10,50,200,20,0.5,3.15505772354105,7.99953859537996,3.37361844425533,5.04998283502426,64.5931495283626,0.5,0,0
high_load,24,0.4,5,10,50,250,20,0.25,2.03807520694618,8.94660967407408,4.14498697264817,5.96384894497604,78.839555516181,0.7,0,0
