cycle,time_s,vT_minus_V,vT_plus_V,delta_v_edge_V,i1_A,i2_A,ESR_edge_Ohm,ESR_true_Ohm
110,0.01816,40.1530393245071,40.0414030238213,0.111636300685802,0.851366925249479,1.38135908846663,0.0499999999999985,0.05
111,0.01818,40.1505464077947,40.0384313555437,0.112115052250985,0.856950368391956,1.3853506766277,0.0500000000000011,0.05
112,0.0182,40.15005226241,40.0382572086542,0.11179505375582,0.8545333186531,1.38136775646338,0.0499999999999984,0.05
113,0.01822,40.1495866031573,40.0381081697116,0.111478433445704,0.852123976069115,1.37744469284494,0.0500000000000006,0.05
114,0.01824,40.1475081063483,40.0355408438749,0.111967262473385,0.857780916006978,1.38156433346075,0.0499999999999995,0.05
115,0.01826,40.1457754191039,40.0333161782277,0.112459240876198,0.863487180913173,1.38569763661088,0.0499999999999982,0.05
116,0.01828,40.1460492530023,40.0338970685259,0.112152184476443,0.861175781608143,1.38186790792072,0.05,0.05
117,0.0183,40.1463495368389,40.0345014354064,0.111848101432521,0.858853830481373,1.37810819816904,0.0500000000000002,0.05
118,0.01832,40.1450244380732,40.032675446458,0.112348991615178,0.864579518041472,1.38240031426214,0.049999999999999,0.05
119,0.01834,40.1440369804113,40.0311843570215,0.112852623389784,0.870336864272344,1.38671560352341,0.0499999999999985,0.05
120,0.01836,40.1450530034276,40.0324961699195,0.112556833508144,0.868059291667533,1.38307737849531,0.0500000000000009,0.05
121,0.01838,40.1460818764676,40.0338183046149,0.112263571852672,0.865753702566481,1.37951773448685,0.0500000000000025,0.05
122,0.0184,40.1471138386837,40.0351407103882,0.111973128295574,0.863419982304708,1.3760425836068,0.0499999999999995,0.05
123,0.01842,40.146491290929,40.0340037813421,0.112487509586906,0.869117181290581,1.38063301044759,0.0499999999999988,0.05
124,0.01844,40.1461765904735,40.0331721252439,0.113004465229601,0.874829962237423,1.38525934235467,0.0499999999999983,0.05
125,0.01846,40.147835844765,40.035114073651,0.112721771113982,0.872491977513609,1.38194344476597,0.0500000000000015,0.05
