cycle,time_s,C_OFF_F,C_ON_F,Q_OFF_C,Q_ON_C,C_true_F,ESR_true_Ohm
82,0.0176,9.99999985943333e-05,9.99999980878396e-05,1.2409390985205e-05,1.26743455422523e-05,0.0001,0.05
83,0.01762,9.99999985938288e-05,9.99999980879661e-05,1.23274128779928e-05,1.28194513223855e-05,0.0001,0.05
84,0.01764,9.99999985928692e-05,9.99999980876203e-05,1.23694867808024e-05,1.28514586935995e-05,0.0001,0.05
85,0.01766,9.99999985934971e-05,9.99999980876009e-05,1.24399975717311e-05,1.27049635363453e-05,0.0001,0.05
86,0.01768,9.99999985945025e-05,9.99999980878677e-05,1.23879407355388e-05,1.26721374279475e-05,0.0001,0.05
87,0.0177,9.99999985955779e-05,9.99999980881496e-05,1.2336717006574e-05,1.2639392192228e-05,0.0001,0.05
88,0.01772,9.99999985949819e-05,9.9999998088178e-05,1.22605680032159e-05,1.2783701312131e-05,0.0001,0.05
89,0.01774,9.99999985938513e-05,9.99999980879777e-05,1.23079251526781e-05,1.28153380720135e-05,0.0001,0.05
90,0.01776,9.99999985943577e-05,9.99999980879021e-05,1.23833355685781e-05,1.26689484864071e-05,0.0001,0.05
91,0.01778,9.99999985952892e-05,9.99999980881571e-05,1.23367705580319e-05,1.26358248525082e-05,0.0001,0.05
92,0.0178,9.99999985945973e-05,9.99999980882505e-05,1.22652053954667e-05,1.27796983373465e-05,0.0001,0.05
93,0.01782,9.9999998593382e-05,9.99999980880235e-05,1.2317097155875e-05,1.28109348985246e-05,0.0001,0.05
94,0.01784,9.99999985938265e-05,9.99999980879261e-05,1.23971316161382e-05,1.26642280841281e-05,0.0001,0.05
95,0.01786,9.9999998594646e-05,9.99999980881947e-05,1.23550734886336e-05,1.26307717675943e-05,0.0001,0.05
96,0.01788,9.99999985938605e-05,9.9999998088308e-05,1.22877344752226e-05,1.2774266054792e-05,0.0001,0.05
97,0.0179,9.99999985925526e-05,9.99999980880373e-05,1.23439016568058e-05,1.28052057246665e-05,0.0001,0.05
98,0.01792,9.99999985929395e-05,9.99999980879716e-05,1.24283919131524e-05,1.26583260791989e-05,0.0001,0.05
99,0.01794,9.99999985936841e-05,9.99999980882505e-05,1.23904700183609e-05,1.26246902811762e-05,0.0001,0.05
100,0.01796,9.99999985927984e-05,9.99999980883127e-05,1.2326797994911e-05,1.27679741158422e-05,0.0001,0.05
101,0.01798,9.99999985914937e-05,9.99999980880305e-05,1.2386777055283e-05,1.27988239040212e-05,0.0001,0.05
102,0.018,9.99999985917471e-05,9.9999998087985e-05,1.24753415989483e-05,1.26520053562518e-05,0.0001,0.05
103,0.01802,9.9999998592447e-05,9.99999980882543e-05,1.24409919702064e-05,1.26184360498702e-05,0.0001,0.05
104,0.01804,9.99999985931492e-05,9.99999980885142e-05,1.2407146222363e-05,1.25851341873731e-05,0.0001,0.05
105,0.01806,9.99999985921952e-05,9.99999980885637e-05,1.23471963002415e-05,1.27283851961513e-05,0.0001,0.05
106,0.01808,9.99999985907546e-05,9.9999998088307e-05,1.24108463800995e-05,1.27598132470739e-05,0.0001,0.05
107,0.0181,9.999999859099e-05,9.99999980881903e-05,1.25031466792222e-05,1.26141858712235e-05,0.0001,0.05
108,0.01812,9.99999985915856e-05,9.99999980884512e-05,1.24721539113033e-05,1.25814774872387e-05,0.0001,0.05
109,0.01814,9.99999985906257e-05,9.99999980884978e-05,1.24142826330381e-05,1.27253654892955e-05,0.0001,0.05
110,0.01816,9.99999985892116e-05,9.999999808822e-05,1.24803411584763e-05,1.27575499776018e-05,0.0001,0.05
111,0.01818,9.99999985893968e-05,9.9999998088104e-05,1.25754564543087e-05,1.26127856803335e-05,0.0001,0.05
112,0.0182,9.99999985899546e-05,9.99999980883334e-05,1.25464911580988e-05,1.25810103068499e-05,0.0001,0.05
113,0.01822,9.99999985890178e-05,9.9999998088388e-05,1.24897896858585e-05,1.27259239994085e-05,0.0001,0.05
114,0.01824,9.99999985875736e-05,9.99999980880727e-05,1.25574167736317e-05,1.27592167560168e-05,0.0001,0.05
115,0.01826,9.99999985877201e-05,9.99999980879135e-05,1.26545512162858e-05,1.26156107674149e-05,0.0001,0.05
116,0.01828,9.99999985882747e-05,9.9999998088127e-05,1.26267444275466e-05,1.25851062258965e-05,0.0001,0.05
117,0.0183,9.99999985873228e-05,9.99999980881782e-05,1.25703030849056e-05,1.2731441333457e-05,0.0001,0.05
118,0.01832,9.99999985859205e-05,9.99999980877895e-05,1.26386433023756e-05,1.27661757343255e-05,0.0001,0.05
119,0.01834,9.99999985860591e-05,9.99999980876881e-05,1.27369701975214e-05,1.26239799715484e-05,0.0001,0.05
120,0.01836,9.99999985866093e-05,9.99999980878847e-05,1.27094645924622e-05,1.25950492817589e-05,0.0001,0.05
121,0.01838,9.9999998587212e-05,9.99999980880716e-05,1.26816220204564e-05,1.25667571364301e-05,0.0001,0.05
122,0.0184,9.99999985862522e-05,9.99999980880268e-05,1.26244835381577e-05,1.27152242439328e-05,0.0001,0.05
123,0.01842,9.99999985848611e-05,9.99999980877077e-05,1.26923889635787e-05,1.27524228496096e-05,0.0001,0.05
124,0.01844,9.9999998585042e-05,9.99999980875362e-05,1.27905376838131e-05,1.26129222708112e-05,0.0001,0.05
125,0.01846,9.99999985855978e-05,9.99999980877079e-05,1.27622186852001e-05,1.25866113732677e-05,0.0001,0.05
126,0.01848,9.99999985846739e-05,9.9999998087675e-05,1.27037697890062e-05,1.27373738839563e-05,0.0001,0.05
127,0.0185,9.99999985833481e-05,9.99999980873134e-05,1.27708806143092e-05,1.27766447444349e-05,0.0001,0.05
128,0.01852,9.99999985835602e-05,9.99999980871045e-05,1.28687317842568e-05,1.26389062962405e-05,0.0001,0.05
129,0.01854,9.99999985841618e-05,9.99999980872291e-05,1.28393060117127e-05,1.26146729393865e-05,0.0001,0.05
130,0.01856,9.99999985832757e-05,9.99999980872001e-05,1.27789876610404e-05,1.27679039032477e-05,0.0001,0.05
131,0.01858,9.99999985819907e-05,9.99999980868196e-05,1.28447541290491e-05,1.28092903360574e-05,0.0001,0.05
132,0.0186,9.99999985822387e-05,9.99999980865811e-05,1.29417502298405e-05,1.26732221876239e-05,0.0001,0.05
133,0.01862,9.99999985828342e-05,9.99999980867277e-05,1.29107361767001e-05,1.26510463345222e-05,0.0001,0.05
134,0.01864,9.99999985819836e-05,9.99999980866593e-05,1.28481602531343e-05,1.28067988893257e-05,0.0001,0.05
135,0.01866,9.99999985807981e-05,9.9999998086217e-05,1.29121902002705e-05,1.28502203820395e-05,0.0001,0.05
136,0.01868,9.99999985810467e-05,9.99999980860637e-05,1.30079224720745e-05,1.27156089766409e-05,0.0001,0.05
137,0.0187,9.99999985817317e-05,9.99999980861772e-05,1.29750070329658e-05,1.26953463169351e-05,0.0001,0.05
138,0.01872,9.99999985824313e-05,9.99999980862734e-05,1.29412980955916e-05,1.26757319257753e-05,0.0001,0.05
139,0.01874,9.99999985816314e-05,9.99999980861809e-05,1.2875796823923e-05,1.28343560531936e-05,0.0001,0.05
