test_id,fs_adc_Hz,adc_interval_s,adc_bits,sample_phase,window_requested_us,window_actual_us,points_available_pre,points_available_post,sampling_geometry_feasible,afe_order,afe_fc_v_Hz,afe_fc_i1_Hz,afe_fc_i2_Hz,attenuation_v_at_fsw_dB,group_delay_v_at_fsw_s,group_delay_v_edge_band_s,attenuation_i_at_fsw_dB,group_delay_i_at_fsw_s,group_delay_i_edge_band_s,alias_ratio_dB,C_MAPE_percent,ESR_MAPE_percent,NIS_V_mean,NIS_C_mean,NIS_R_mean,edge_predicted_variance_V2,voltage_saturation_fraction,current_saturation_fraction,accuracy_geometry_pass,robust_alias_pass,perturbation
668,1600000,6.25e-07,14,0.67,2,1.875,3,3,1,2,3000000,1000000,1000000,-3.35103753839414e-07,7.50471945447958e-08,7.55437329481472e-08,-2.71433202967853e-05,2.25640366491931e-07,2.38215990294049e-07,-24.3948688827791,1.07010357046682,1.93497295217675,0.352525151474233,0.99132070639956,0.950535081340522,1.42302763756625e-05,0,0,1,1,nominal_fsw
669,1600000,6.25e-07,14,0.13,2,1.875,3,3,1,1,3000000,2000000,2000000,-0.00120620603998196,5.30369152206258e-08,5.26857742637191e-08,-0.00271349263374914,7.95277666910522e-08,7.83532027490969e-08,-24.5319855256996,1.06856757264258,1.47797656739048,0.307349176053089,1.03428115573223,0.869740650836201,1.44890086734467e-05,0,0,1,1,nominal_fsw
670,1600000,6.25e-07,14,0.67,2,1.875,3,3,1,1,3000000,2000000,2000000,-0.00120620603998196,5.30369152206258e-08,5.26857742637191e-08,-0.00271349263374914,7.95277666910522e-08,7.83532027490969e-08,-24.5319855256996,0.840398819449262,1.57595940143209,0.318093285746866,1.0622113627826,0.866028171690646,1.44890086734295e-05,0,0,1,1,nominal_fsw
671,1600000,6.25e-07,14,0.13,2,1.875,3,3,1,2,3000000,2000000,2000000,-3.35103753839414e-07,7.50471945447958e-08,7.55437329481472e-08,-1.69646248855021e-06,1.12609832744504e-07,1.14270071863055e-07,-24.3948688827791,1.65724242566909,0.767327385102323,0.338695810421515,1.04113704664873,0.817037329436354,1.56274307834897e-05,0,0,1,1,nominal_fsw
672,1600000,6.25e-07,14,0.67,2,1.875,3,3,1,2,3000000,2000000,2000000,-3.35103753839414e-07,7.50471945447958e-08,7.55437329481472e-08,-1.69646248855021e-06,1.12609832744504e-07,1.14270071863055e-07,-24.3948688827791,1.31851634735412,1.25378180777844,0.335361738683226,1.02537740869974,0.975526862665217,1.39715440779469e-05,0,0,1,1,nominal_fsw
673,1600000,6.25e-07,16,0.13,2,1.875,3,3,1,1,250000,250000,250000,-0.170333392987803,6.12134396241429e-07,3.18309886714201e-07,-0.170333392987803,6.12134396241429e-07,3.18309886714201e-07,-37.4831195261177,14.8969864408107,46.5183027605521,1.54023934985018,138.233505125142,0.184002599123236,6.19801153056964e-05,0,0,0,0,nominal_fsw
674,1600000,6.25e-07,16,0.67,2,1.875,3,3,1,1,250000,250000,250000,-0.170333392987803,6.12134396241429e-07,3.18309886714201e-07,-0.170333392987803,6.12134396241429e-07,3.18309886714201e-07,-37.4831195261177,12.8507840922321,46.8876050662963,1.65395816962011,145.183559849361,0.202618793923958,6.70734410703319e-05,0,0,0,0,nominal_fsw
675,1600000,6.25e-07,16,0.13,2,1.875,3,3,1,2,250000,250000,250000,-0.00694315866354403,9.34833235980618e-07,9.00316314657189e-07,-0.00694315866354403,9.34833235980618e-07,9.00316314657189e-07,-41.3944597900758,2.16672807749786,95.5939077178039,31.7445556242674,1050.18051549472,0.324666331065809,0.000158387878922952,0,0,0,0,nominal_fsw
676,1600000,6.25e-07,16,0.67,2,1.875,3,3,1,2,250000,250000,250000,-0.00694315866354403,9.34833235980618e-07,9.00316314657189e-07,-0.00694315866354403,9.34833235980618e-07,9.00316314657189e-07,-41.3944597900758,3.76041562991363,95.6825626716818,31.3044455005238,1031.04762721332,0.236021985042802,0.000158594845811259,0,0,0,0,nominal_fsw
677,1600000,6.25e-07,16,0.13,2,1.875,3,3,1,1,250000,500000,500000,-0.170333392987803,6.12134396241429e-07,3.18309886714201e-07,-0.0432137378264256,3.1515830311229e-07,2.54647908913008e-07,-37.4831195261177,12.0780982960962,47.1026861125018,1.67408161959768,151.835978248326,0.204069897529885,6.51363603509502e-05,0,0,0,0,nominal_fsw
