scenario,seed,C_est_F,ESR_est_Ohm,C_MAPE_percent,ESR_MAPE_percent,sigma_C_F,sigma_ESR_Ohm,NEES_full,NEES_param,CI_C_contains_true,CI_ESR_contains_true,accuracy_pass
nominal,59,0.000100070333599875,0.049745418864233,0.0703335998749388,0.509162271533914,8.79394048077577e-07,0.0003134922536724,1.35825439081368,1.32175721239464,1,1,1
nominal,60,0.000100205187624604,0.0499684463524205,0.205187624604375,0.0631072951590039,8.81753768305854e-07,0.000311158598493925,0.817994604976893,0.780966328237455,1,1,1
nominal,61,9.97115562106322e-05,0.0501398948770693,0.288443789367843,0.279789754138537,8.73390118570532e-07,0.000312163922306905,0.0984189512951483,0.0640188371102758,1,1,1
nominal,62,0.000101160651577891,0.0501823960991737,1.16065157789054,0.364792198347441,8.98663834884309e-07,0.000312527464114848,0.530589465670828,0.503220775324594,1,1,1
nominal,63,0.00010054719384463,0.0498457532815123,0.547193844630089,0.308493436975388,8.87794953976064e-07,0.000311267476533605,0.89389954922104,0.86579645841359,1,1,1
nominal,64,9.99191128046509e-05,0.0495916404420338,0.0808871953491441,0.816719115932329,8.76738093877095e-07,0.00031024626212765,1.27618057047885,1.24113156298801,1,1,1
nominal,65,0.000100191696588038,0.0501676976727457,0.191696588038415,0.335395345491363,8.81524089905712e-07,0.00030910641693416,1.31106128267405,1.29019230030195,1,1,1
nominal,66,0.000100513118229172,0.0498824923730776,0.51311822917175,0.235015253844828,8.87189685311913e-07,0.000308920462280419,0.357393117033912,0.325459827368694,1,1,1
nominal,67,9.98339079725641e-05,0.0500779808811218,0.166092027435905,0.155961762243551,8.75254189117472e-07,0.000315108827223906,0.0745942524166163,0.054838599336485,1,1,1
nominal,68,0.000100155546323043,0.0501770955716308,0.155546323042843,0.35419114326154,8.80901522487823e-07,0.000310644100638131,2.16826919722373,2.14541184854225,1,1,1
nominal,69,9.94486454239894e-05,0.0499325011041028,0.551354576010565,0.134997791794456,8.68488877804139e-07,0.000312369592001279,0.223602285268584,0.192919717622928,1,1,1
nominal,70,0.000100686020838217,0.0499013503141234,0.686020838217316,0.197299371753179,8.902718545179e-07,0.000312910149467685,2.45093833968776,2.43558442126285,1,1,1
