cycle,time_s,C_OFF_F,C_ON_F,C_true_F,ESR_true_Ohm
144,0.00886,0.000100001627837125,9.99996764783245e-05,0.0001,0.05
145,0.00887999999999993,0.000100001629825106,9.99977763347608e-05,0.0001,0.05
146,0.00889999999999981,0.000100000345651769,9.99977991625901e-05,0.0001,0.05
147,0.00892,0.000100001633579172,9.99977677370054e-05,0.0001,0.05
148,0.00893999999999988,0.000100001627125905,9.9997763354489e-05,0.0001,0.05
149,0.00896,0.000100001637063367,9.99996733203191e-05,0.0001,0.05
150,0.00897999999999993,0.000100001638714673,9.9997754466727e-05,0.0001,0.05
151,0.00899999999999981,0.000100000347475872,9.99977773777093e-05,0.0001,0.05
152,0.00902,0.000100001641858531,9.99977454785091e-05,0.0001,0.05
153,0.00903999999999988,0.000100001635105489,9.9997740971756e-05,0.0001,0.05
154,0.00906,0.000100001644822128,9.99996700419637e-05,0.0001,0.05
155,0.00907999999999993,0.000100001646247973,9.99977319850901e-05,0.0001,0.05
156,0.00909999999999981,0.000100000349032955,9.99977552312071e-05,0.0001,0.05
157,0.00912,0.000100001649011373,9.99977231057942e-05,0.0001,0.05
158,0.00913999999999988,0.000100001642078767,9.99977187337272e-05,0.0001,0.05
159,0.00916,0.000100001651687515,9.99996668274072e-05,0.0001,0.05
160,0.00917999999999993,0.000100001653003396,9.99977101800058e-05,0.0001,0.05
161,0.00919999999999981,0.000100000350446182,9.99977340196473e-05,0.0001,0.05
162,0.00922,0.000100001655610686,9.9997701952625e-05,0.0001,0.05
163,0.00923999999999988,0.000100001648607165,9.99976979883814e-05,0.0001,0.05
164,0.00926,0.000100001658208907,9.99996638745843e-05,0.0001,0.05
165,0.00927999999999993,0.000100001659511929,9.99976904105346e-05,0.0001,0.05
166,0.00929999999999981,0.000100000351823429,9.99977150803335e-05,0.0001,0.05
167,0.00932,0.000100001662138383,9.99976833660551e-05,0.0001,0.05
168,0.00933999999999988,0.000100001655140647,9.99976800672167e-05,0.0001,0.05
169,0.00936,0.000100001664803892,9.99996613741044e-05,0.0001,0.05
170,0.00937999999999993,0.000100001666153998,9.9997673958959e-05,0.0001,0.05
171,0.00939999999999981,0.000100000353237546,9.99976996440248e-05,0.0001,0.05
172,0.00942,0.000100001668891178,9.99976685539097e-05,0.0001,0.05
173,0.00943999999999988,0.000100001661929288,9.9997666132017e-05,0.0001,0.05
174,0.00946,0.000100001671675229,9.99996594869721e-05,0.0001,0.05
175,0.00947999999999993,0.000100001673081964,9.99976618772092e-05,0.0001,0.05
176,0.00949999999999981,0.00010000035471124,9.99976886856686e-05,0.0001,0.05
177,0.00952,0.00010000167591594,9.99976584368564e-05,0.0001,0.05
178,0.00953999999999988,0.000100001668965269,9.99976570303983e-05,0.0001,0.05
179,0.00956,0.000100001678759436,9.99996583244805e-05,0.0001,0.05
180,0.00957999999999993,0.000100001680176455,9.99976548544721e-05,0.0001,0.05
181,0.00959999999999981,0.000100000356208896,9.99976828013431e-05,0.0001,0.05
182,0.00962,0.000100001682980527,9.99976535318101e-05,0.0001,0.05
183,0.00963999999999988,0.000100001675961647,9.99976531892234e-05,0.0001,0.05
184,0.00966,0.000100001685713476,9.99996579342211e-05,0.0001,0.05
185,0.00967999999999993,0.000100001687039924,9.99976531319927e-05,0.0001,0.05
186,0.00969999999999981,0.000100000357636982,9.9997682135796e-05,0.0001,0.05
187,0.00972,0.000100001689583705,9.99976538912532e-05,0.0001,0.05
