case_id,noise_profile,skew_ns,seed,observation,estimator,cell_id,C_true_F,ESR_true_ohm,C_est_F,ESR_est_ohm,C_error_percent,ESR_error_percent,C_bias_percent,ESR_bias_percent,C_variance,ESR_variance,convergence_cycles,divergence_flag,projection_saturation,projection_activations,invalid_updates,timing_failure,nis_mean,nees_parameter,CI_C_contains_true,CI_ESR_contains_true,mu_C,mu_R
PV1-021,nominal,0,21021,O0 Mixed,E3 LTV/Joseph,O0-E3,8e-05,0.05,7.53397873672929e-05,0.0506515303756781,5.82526579088385,1.30306075135613,-5.82526579088385,1.30306075135613,9.78839229351645e-15,1.60931752331783e-07,1024,0,0,0,0,0,0.200556742159533,1974.84539487642,0,1,463205.05831593,878595549.102548
PV1-021,nominal,0,21021,O1 Proposed,E3 LTV/Joseph,O1-E3,8e-05,0.05,8.00819499527336e-05,0.0500503485445578,0.102437440917003,0.100697089115509,0.102437440917003,0.100697089115509,1.15310594979146e-14,7.42765548818712e-08,2,0,0,0,0,0,0.473425153238762,0.617731872095403,1,1,463205.05831593,878595549.102548
PV1-021,nominal,20,31021,O0 Mixed,E1 RLS,O0-E1,8e-05,0.05,7.42324152460266e-05,0.050757109302184,7.20948094246674,1.51421860436805,-7.20948094246674,1.51421860436805,1.95405232546313e-14,1.68702931257492e-08,1024,0,0,0,0,0,NaN,1728.25859559803,0,0,463205.05831593,878595549.102548
PV1-021,nominal,20,31021,O1 Proposed,E1 RLS,O1-E1,8e-05,0.05,7.98939986370194e-05,0.0500644793455961,0.132501703725729,0.128958691192183,-0.132501703725729,0.128958691192183,2.4491957865579e-14,3.15539983500364e-09,2,0,0,0,0,0,NaN,1.77516955227065,1,1,463205.05831593,878595549.102548
PV1-021,nominal,20,31021,O0 Mixed,E2 Dual EKF,O0-E2,8e-05,0.05,7.42388040683283e-05,0.050719675312779,7.20149491458959,1.43935062555798,-7.20149491458959,1.43935062555798,9.29328585499035e-15,4.68740388620103e-07,1024,0,0,0,0,0,0.210190759102944,3075.99994261848,0,1,463205.05831593,878595549.102548
PV1-021,nominal,20,31021,O1 Proposed,E2 Dual EKF,O1-E2,8e-05,0.05,7.99865409497069e-05,0.0495305271157404,0.0168238128663734,0.938945768519117,-0.0168238128663734,-0.938945768519117,9.77650614234086e-15,2.2879325430635e-07,3,0,0,0,0,0,0.618999310630048,0.981858521229678,1,1,463205.05831593,878595549.102548
PV1-021,nominal,20,31021,O0 Mixed,E3 LTV/Joseph,O0-E3,8e-05,0.05,7.4224511018456e-05,0.050895753330769,7.21936122693003,1.79150666153791,-7.21936122693003,1.79150666153791,9.22153431379126e-15,1.60931752331783e-07,1024,0,0,0,0,0,0.218555573123007,3126.33242684825,0,0,463205.05831593,878595549.102548
PV1-021,nominal,20,31021,O1 Proposed,E3 LTV/Joseph,O1-E3,8e-05,0.05,7.99663647114535e-05,0.0498999095733005,0.0420441106830927,0.200180853398912,-0.0420441106830927,-0.200180853398912,1.14646306705766e-14,7.42765548818712e-08,2,0,0,0,0,0,0.898536042327475,0.233472871576099,1,1,463205.05831593,878595549.102548
PV1-021,nominal,50,41021,O0 Mixed,E1 RLS,O0-E1,8e-05,0.05,7.2735881389991e-05,0.0509939541913335,9.08014826251128,1.98790838266703,-9.08014826251128,1.98790838266703,1.8011780590732e-14,1.68702931257492e-08,1024,0,0,0,0,0,NaN,2862.38295160456,0,0,463205.05831593,878595549.102548
PV1-021,nominal,50,41021,O1 Proposed,E1 RLS,O1-E1,8e-05,0.05,8.00564322763901e-05,0.0501326038635758,0.0705403454876574,0.265207727151595,0.0705403454876574,0.265207727151595,2.46917459315381e-14,3.15539983500364e-09,8,0,0,0,0,0,NaN,5.70175748337752,1,0,463205.05831593,878595549.102548
PV1-021,nominal,50,41021,O0 Mixed,E2 Dual EKF,O0-E2,8e-05,0.05,7.27647890157037e-05,0.0510170721592627,9.04401373037043,2.03414431852547,-9.04401373037043,2.03414431852547,8.57690352857301e-15,4.68740388620103e-07,1024,0,0,0,0,0,0.210853881579752,5049.71160030161,0,1,463205.05831593,878595549.102548
PV1-021,nominal,50,41021,O1 Proposed,E2 Dual EKF,O1-E2,8e-05,0.05,8.0125405424114e-05,0.047835470743278,0.156756780142486,4.32905851344399,0.156756780142486,-4.32905851344399,9.84457503887875e-15,2.2879325430635e-07,8,0,0,0,0,0,1.50516319360085,22.0803123567941,1,0,463205.05831593,878595549.102548
PV1-021,nominal,50,41021,O0 Mixed,E3 LTV/Joseph,O0-E3,8e-05,0.05,7.27498337486004e-05,0.0510228952769104,9.06270781424956,2.04579055382084,-9.06270781424956,2.04579055382084,8.51024036526465e-15,1.60931752331783e-07,1024,0,0,0,0,0,0.218602294193221,5125.71055258148,0,0,463205.05831593,878595549.102548
PV1-021,nominal,50,41021,O1 Proposed,E3 LTV/Joseph,O1-E3,8e-05,0.05,8.01126436107881e-05,0.0504559780165876,0.140804513485171,0.91195603317511,0.140804513485171,0.91195603317511,1.15487480746838e-14,9.79601273401625e-08,8,0,0,0,158,0,3.49773675382696,3.22424881238356,1,1,463205.05831593,878595549.102548
PV1-021,nominal,100,51021,O0 Mixed,E1 RLS,O0-E1,8e-05,0.05,7.04510038397097e-05,0.0514534201178757,11.9362452003629,2.90684023575132,-11.9362452003629,2.90684023575132,1.58529674245517e-14,1.68702931257492e-08,1024,0,0,0,0,0,NaN,5320.40463098662,0,0,463205.05831593,878595549.102548
PV1-021,nominal,100,51021,O1 Proposed,E1 RLS,O1-E1,8e-05,0.05,8.00470036003312e-05,0.0502157897386661,0.0587545004140377,0.431579477332189,0.0587545004140377,0.431579477332189,2.46801156681692e-14,3.15539983500364e-09,16,0,0,0,0,0,NaN,14.8469334847951,1,0,463205.05831593,878595549.102548
PV1-021,nominal,100,51021,O0 Mixed,E2 Dual EKF,O0-E2,8e-05,0.05,7.04417201951802e-05,0.0517768544335369,11.9478497560248,3.55370886707387,-11.9478497560248,3.55370886707387,7.53295267986348e-15,4.68740388620103e-07,1024,0,0,0,0,0,0.265691018285742,9403.23810637744,0,0,463205.05831593,878595549.102548
PV1-021,nominal,100,51021,O1 Proposed,E2 Dual EKF,O1-E2,8e-05,0.05,8.00492906939591e-05,0.0455625485855854,0.0616133674488983,8.87490282882916,0.0616133674488983,-8.87490282882916,9.80722108706015e-15,2.2879325430635e-07,1024,0,0,0,0,1,4.87251289332237,86.3125297347893,1,0,463205.05831593,878595549.102548
PV1-021,nominal,100,51021,O0 Mixed,E3 LTV/Joseph,O0-E3,8e-05,0.05,7.04215204422966e-05,0.0516132062445858,11.9730994471292,3.22641248917168,-11.9730994471292,3.22641248917168,7.47197475423297e-15,1.60931752331783e-07,1024,0,0,0,0,0,0.276509572225928,9554.36538041389,0,0,463205.05831593,878595549.102548
PV1-021,nominal,100,51021,O1 Proposed,E3 LTV/Joseph,O1-E3,8e-05,0.05,8.0045348330387e-05,0.0534493114073184,0.0566854129836925,6.89862281463687,0.0566854129836925,6.89862281463687,1.15099927670773e-14,1.42526409807761e-07,1024,0,0,0,300,1,18.2118302362357,83.6563766176491,1,0,463205.05831593,878595549.102548
PV1-022,10mV_5mA,0,23022,O0 Mixed,E1 RLS,O0-E1,9e-05,0.05,8.66585033997986e-05,0.0503410353539255,3.71277400022373,0.682070707850913,-3.71277400022373,0.682070707850913,1.45166546586235e-12,6.07330551725375e-07,445,0,1,19,0,0,NaN,8.48179277473143,0,1,11580.1264578983,24303224.8782139
PV1-022,10mV_5mA,0,23022,O1 Proposed,E1 RLS,O1-E1,9e-05,0.05,9.00922376489914e-05,0.0500229021639444,0.102486276657143,0.0458043278887432,0.102486276657143,0.0458043278887432,1.5840772281983e-12,1.14072114484469e-07,35,0,0,0,0,0,NaN,0.00997987665584254,1,1,11580.1264578983,24303224.8782139
PV1-022,10mV_5mA,0,23022,O0 Mixed,E2 Dual EKF,O0-E2,9e-05,0.05,8.70183670550897e-05,0.0499509694315215,3.31292549434484,0.0980611369570616,-3.31292549434484,-0.0980611369570616,5.41509804084815e-13,3.16603966000381e-06,15,0,0,0,0,0,0.182535074494298,15.3768147296736,0,1,11580.1264578983,24303224.8782139
PV1-022,10mV_5mA,0,23022,O1 Proposed,E2 Dual EKF,O1-E2,9e-05,0.05,9.05455577349206e-05,0.0509329453208738,0.606175261022845,1.8658906417476,0.606175261022845,1.8658906417476,5.94246281956596e-13,1.43803342061451e-06,4,0,0,0,0,0,0.490824657412944,1.11221095495424,1,1,11580.1264578983,24303224.8782139
PV1-022,10mV_5mA,0,23022,O0 Mixed,E3 LTV/Joseph,O0-E3,9e-05,0.05,8.6995228065542e-05,0.050208459321191,3.33863548273113,0.416918642382069,-3.33863548273113,0.416918642382069,5.34097811071504e-13,1.02772082725687e-06,15,0,0,0,0,0,0.185264359815879,16.2299020329969,0,1,11580.1264578983,24303224.8782139
PV1-022,10mV_5mA,0,23022,O1 Proposed,E3 LTV/Joseph,O1-E3,9e-05,0.05,9.05066506696346e-05,0.0503225701182513,0.562945188482877,0.64514023650255,0.562945188482877,0.64514023650255,5.80602367624868e-13,4.53971094130675e-07,9,0,0,0,0,0,0.512264750107344,0.676312902703416,1,1,11580.1264578983,24303224.8782139
PV1-022,10mV_5mA,20,33022,O0 Mixed,E1 RLS,O0-E1,9e-05,0.05,8.65106296859942e-05,0.0508709032140529,3.87707812667309,1.74180642810582,-3.87707812667309,1.74180642810582,1.44178233474349e-12,6.07330551725375e-07,358,0,1,20,0,0,NaN,11.4066093204147,0,1,11580.1264578983,24303224.8782139
PV1-022,10mV_5mA,20,33022,O1 Proposed,E1 RLS,O1-E1,9e-05,0.05,9.01373947951272e-05,0.0498495507468992,0.152660883474676,0.300898506201674,0.152660883474676,-0.300898506201674,1.58725557999699e-12,1.14072114484469e-07,3,0,0,0,0,0,NaN,0.210356317216639,1,1,11580.1264578983,24303224.8782139
