path_id,ADC_mode,voltage_architecture,nominal_bits,ENOB,fs_adc_Hz,multi_cycle,quantization_case,calibration_level,fusion_method,C_est_F,ESR_est_Ohm,C_MAPE_percent,C_MAPE_p95_percent,ESR_MAPE_percent,ESR_MAPE_p95_percent,C_bias_percent,ESR_bias_percent,C_variance,ESR_variance,NIS_C_mean,NIS_R_mean,NEES_mean,CI_C_95_coverage,CI_ESR_95_coverage,accuracy_pass,confidence_pass
native_16_V2,native_16bit_slow,V2,16,13.5,1100000,16,Q1_deterministic,Cal3,weighted_batch_average,0.000100150613897312,0.0499917154920611,0.862607096002951,3.7571550887788,0.174555280652697,0.513735890432546,0.15061389731168,-0.0165690158778431,1.61668981395115e-12,1.21367352211653e-08,0,0,0.402534691715111,1,1,1,1
native_16_V2,native_16bit_slow,V2,16,13.5,1100000,16,Q1_deterministic,Cal3,robust_trimmed_mean,0.000100409098731778,0.0499767814678812,0.648328194216987,0.641329308773197,0.188871409111004,0.426212102214274,0.409098731778368,-0.0464370642376921,5.81467012782092e-13,1.33918573298378e-08,0,0,0.202799550648796,1,1,1,1
native_16_V2,native_16bit_slow,V2,16,13.5,1100000,16,Q2_2mV,Cal3,TS_SLTVKE_sequential,9.85989662620584e-05,0.0502222413222026,3.14071778170056,5.57660190178972,1.89204245308574,4.53827169233893,-1.40103373794163,0.444482644405109,1.11245361608231e-11,1.3373469373169e-06,0.93249990092039,0.952053634752655,1.814392205073,0.96875,0.96875,0,1
native_16_V2,native_16bit_slow,V2,16,13.5,1100000,16,Q2_2mV,Cal3,weighted_batch_average,9.95085583902399e-05,0.0498875132592476,2.36515645317563,4.82689372217898,1.94313555815589,4.77867096697714,-0.491441609760146,-0.224973481504731,7.37316383731875e-12,1.41881700643225e-06,1.03079965921745,0.89031057836214,1.39141026313754,1,1,1,1
native_16_V2,native_16bit_slow,V2,16,13.5,1100000,16,Q2_2mV,Cal3,robust_trimmed_mean,9.90943363188903e-05,0.0500466518117714,2.87373215852231,6.94140459323639,1.95563454086937,5.27773666000746,-0.905663681109714,0.0933036235428064,1.33151826249374e-11,1.41781266213815e-06,0.906801792261378,0.96516810342221,1.89823114163008,0.9375,0.9375,1,1
native_16_V2,native_16bit_slow,V2,16,13.5,1100000,16,Q3_full_nonideal,Cal3,TS_SLTVKE_sequential,0.000100838184365153,0.0498649606666732,4.28612651621926,12.4645868596545,1.67450942034516,4.15192317701533,0.838184365152861,-0.270078666653673,3.03429644630941e-11,1.08873907353924e-06,0.912372710921723,0.918628794986391,2.51842542244707,0.84375,1,0,0
native_16_V2,native_16bit_slow,V2,16,13.5,1100000,16,Q3_full_nonideal,Cal3,weighted_batch_average,9.92338559067736e-05,0.0502878907995928,3.36515107231124,9.32436595390989,1.66124220632682,4.06316324900223,-0.766144093226373,0.57578159918561,1.87509845680287e-11,9.75214779035174e-07,0.944899687615998,1.02484183890547,2.19171244334074,0.90625,0.96875,0,1
native_16_V2,native_16bit_slow,V2,16,13.5,1100000,16,Q3_full_nonideal,Cal3,robust_trimmed_mean,0.000101617525550568,0.0500622384036881,4.23454624972014,9.69665275479874,1.67478711650364,5.02316317614962,1.61752555056847,0.124476807376239,2.48355436800379e-11,1.30597304919938e-06,0.893683177351532,0.979121731162002,2.40137721642595,0.84375,0.96875,0,0
native_16_V2,native_16bit_slow,V2,16,13.5,1100000,64,Q1_deterministic,Cal3,TS_SLTVKE_sequential,9.99936325054511e-05,0.049997309465803,0.948353511914998,3.82202308378986,0.24180401571093,0.490854306151333,-0.00636749454895336,-0.00538106839405028,2.07967140580304e-12,2.18297383158735e-08,0,0,0.531195268620043,1,1,1,1
native_16_V2,native_16bit_slow,V2,16,13.5,1100000,64,Q1_deterministic,Cal3,weighted_batch_average,0.000100152966378368,0.0499844942495269,0.85950508203002,3.76770776268401,0.201379936184615,0.402774052645911,0.15296637836828,-0.0310115009461986,1.59375449205717e-12,1.75449160746946e-08,0,0,0.412763698627636,1,1,1,1
