edge_guard_us,edge_window_us,edge_points_per_side,valid_edges,ESR_MAPE_percent,ESR_p95_MAPE_percent,edge_fit_rmse_V,edge_fit_variance_V2,latency_us,samples_per_cycle,status,edge_method
1.5,3,6,148,0.614208294751345,0.791777584606799,0.000139502108240444,2.22045721225126e-08,4.5,160,PASS,timestamped_linear
1.5,3,8,148,0.614208294751345,0.791777584606799,0.000139502108240444,2.22045721225126e-08,4.5,160,PASS,timestamped_linear
2,0.5,3,148,0.364325600701582,0.50362355962153,4.74027098809313e-06,2.87274405675643e-09,2.5,160,PASS,timestamped_linear
2,0.5,4,148,0.364325600701582,0.50362355962153,4.74027098809313e-06,2.87274405675643e-09,2.5,160,PASS,timestamped_linear
2,0.5,6,0,NaN,NaN,NaN,NaN,2.5,160,FAIL,timestamped_linear
2,0.5,8,0,NaN,NaN,NaN,NaN,2.5,160,FAIL,timestamped_linear
2,1,3,148,0.444029742476831,0.604516773186797,1.7431110786932e-05,5.76393397425724e-09,3,160,PASS,timestamped_linear
2,1,4,148,0.444029742476831,0.604516773186797,1.7431110786932e-05,5.76393397425724e-09,3,160,PASS,timestamped_linear
2,1,6,148,0.444029742476831,0.604516773186797,1.7431110786932e-05,5.76393397425724e-09,3,160,PASS,timestamped_linear
2,1,8,148,0.444029742476831,0.604516773186797,1.7431110786932e-05,5.76393397425724e-09,3,160,PASS,timestamped_linear
2,1.5,3,148,0.528247410507388,0.71097746271374,3.7686744371457e-05,9.71688899590708e-09,3.5,160,PASS,timestamped_linear
2,1.5,4,148,0.528247410507388,0.71097746271374,3.7686744371457e-05,9.71688899590708e-09,3.5,160,PASS,timestamped_linear
2,1.5,6,148,0.528247410507388,0.71097746271374,3.7686744371457e-05,9.71688899590708e-09,3.5,160,PASS,timestamped_linear
2,1.5,8,148,0.528247410507388,0.71097746271374,3.7686744371457e-05,9.71688899590708e-09,3.5,160,PASS,timestamped_linear
2,2,3,148,0.613767044516239,0.823784822954756,6.54647570535225e-05,1.48906416559566e-08,4,160,PASS,timestamped_linear
2,2,4,148,0.613767044516239,0.823784822954756,6.54647570535225e-05,1.48906416559566e-08,4,160,PASS,timestamped_linear
2,2,6,148,0.613767044516239,0.823784822954756,6.54647570535225e-05,1.48906416559566e-08,4,160,PASS,timestamped_linear
2,2,8,148,0.613767044516239,0.823784822954756,6.54647570535225e-05,1.48906416559566e-08,4,160,PASS,timestamped_linear
2,3,3,148,0.843485930180721,1.06861791119852,0.000143677067060088,2.96182347399292e-08,5,160,PASS,timestamped_linear
2,3,4,148,0.843485930180721,1.06861791119852,0.000143677067060088,2.96182347399292e-08,5,160,PASS,timestamped_linear
2,3,6,148,0.843485930180721,1.06861791119852,0.000143677067060088,2.96182347399292e-08,5,160,PASS,timestamped_linear
2,3,8,148,0.843485930180721,1.06861791119852,0.000143677067060088,2.96182347399292e-08,5,160,PASS,timestamped_linear
