validation_case,seed,C_true_F,ESR_true_Ohm,C_hat_F,ESR_hat_Ohm,C_abs_error_percent,ESR_abs_error_percent,C_CI95_covered,ESR_CI95_covered,ENOB,effective_edge_CMRR_dB,VREF_noise_uV_rms,clock_jitter_ns_rms,failure_cause
low_CCM,95,0.0001,0.05,0.000100485323145178,0.0495408937644196,0.48532314517771,0.918212471160765,1,1,13.242973273925,71.4424699773586,6.39002260233901,2.20892122947719,PASS
low_CCM,96,0.0001,0.05,0.000100195461964426,0.0498526595939965,0.195461964426315,0.294680812006967,1,1,13.4760559332327,70.3808001667002,10.2310936455282,2.1314442653524,PASS
low_CCM,97,0.0001,0.05,9.96797271012414e-05,0.0500259720265471,0.320272898758574,0.0519440530941662,1,1,13.5373211470748,70.9261043290937,8.66392614296588,1.9218677670382,PASS
low_CCM,98,0.0001,0.05,9.97882779956423e-05,0.0497310779527196,0.21172200435767,0.537844094560896,1,1,13.9623230407097,71.4412901255726,9.35009497374373,1.97763061254611,PASS
low_CCM,99,0.0001,0.05,9.91958695319212e-05,0.0500257386909102,0.804130468078846,0.0514773818204167,1,1,13.1787694839396,72.2338406907023,11.6182689234069,2.72221224102025,PASS
low_CCM,100,0.0001,0.05,0.000100272569814808,0.0496799229892305,0.272569814808266,0.640154021539038,1,1,13.2759515201732,74.271050406253,18.5308855534981,1.95483481112336,PASS
low_CCM,101,0.0001,0.05,9.92866874047813e-05,0.0507529455626963,0.71331259521869,1.50589112539251,1,1,13.6992100473913,70.5453903830984,12.6536550191365,2.01349737065621,PASS
low_CCM,102,0.0001,0.05,9.97348061745728e-05,0.0488413882650584,0.265193825427251,2.31722346988324,1,1,13.7540883662314,68.0433189845159,11.2018973830702,1.56300421540151,PASS
low_CCM,103,0.0001,0.05,9.90974390198295e-05,0.0506402881542576,0.902560980170492,1.28057630851523,1,1,14.0203785578245,68.8163134756128,9.96956494747681,1.55709745654881,PASS
low_CCM,104,0.0001,0.05,9.95532556319243e-05,0.0506087312147583,0.446744368075671,1.21746242951659,1,1,13.7634818943934,67.3101150899512,5.68551629427905,2.17790551614579,PASS
