noise,C_factor,ESR_factor,Rload,seed,method,tail_C_err,tail_ESR_err,conv_cycles,joint_coverage,resets
10mV_5mA,0.8,1,6.89655172413793,3,HYBRID,0.330221871796963,0.726122066961592,57,92.4,0
nominal,0.8,1.5,17.2413793103448,1,RLS,0.229242267602448,0.042254758962712,2,100,0
nominal,0.8,1.5,17.2413793103448,1,KF,0.140401050774276,0.190746337140493,6,99.7,0
nominal,0.8,1.5,17.2413793103448,1,HYBRID,0.140401050774276,0.190746337140493,6,99.7,0
nominal,0.8,1.5,17.2413793103448,2,RLS,0.0598968611869024,0.0539106651555104,6,100,0
nominal,0.8,1.5,17.2413793103448,2,KF,0.0266995737451791,0.1936476639139,2,98.1,0
nominal,0.8,1.5,17.2413793103448,2,HYBRID,0.0266995737451791,0.1936476639139,2,98.1,0
nominal,0.8,1.5,17.2413793103448,3,RLS,0.474370642042374,0.050766845009159,15,100,0
nominal,0.8,1.5,17.2413793103448,3,KF,0.27989041860276,0.18641976578538,5,99,0
nominal,0.8,1.5,17.2413793103448,3,HYBRID,0.27989041860276,0.18641976578538,5,99,0
10mV_5mA,0.8,1.5,17.2413793103448,1,RLS,0.729919634928295,0.0942751445597581,79,100,0
10mV_5mA,0.8,1.5,17.2413793103448,1,KF,0.616997221435693,0.431259437657659,189,100,0
10mV_5mA,0.8,1.5,17.2413793103448,1,HYBRID,0.616997221435693,0.431259437657659,189,100,0
10mV_5mA,0.8,1.5,17.2413793103448,2,RLS,5.51121305593703,0.343784615181146,138,100,0
10mV_5mA,0.8,1.5,17.2413793103448,2,KF,3.39304351885086,0.381128834764999,428,99.9,0
10mV_5mA,0.8,1.5,17.2413793103448,2,HYBRID,3.39304351885086,0.381128834764999,428,99.9,0
10mV_5mA,0.8,1.5,17.2413793103448,3,RLS,1.84338754719889,0.203565178796495,23,100,0
10mV_5mA,0.8,1.5,17.2413793103448,3,KF,1.4056021336305,0.243813576446047,101,99.9,0
10mV_5mA,0.8,1.5,17.2413793103448,3,HYBRID,1.4056021336305,0.243813576446047,101,99.9,0
nominal,0.8,1.5,10,1,RLS,0.208519912201044,0.0349352800138023,4,100,0
nominal,0.8,1.5,10,1,KF,0.183214577457496,0.119628272591644,2,98.6,0
nominal,0.8,1.5,10,1,HYBRID,0.183214577457496,0.119628272591644,2,98.6,0
nominal,0.8,1.5,10,2,RLS,0.229664141408691,0.00910214147193855,7,100,0
nominal,0.8,1.5,10,2,KF,0.110186451571181,0.119652881030928,7,99.3,0
nominal,0.8,1.5,10,2,HYBRID,0.110186451571181,0.119652881030928,7,99.3,0
nominal,0.8,1.5,10,3,RLS,0.0636296637919226,0.0310622270535894,2,100,0
nominal,0.8,1.5,10,3,KF,0.0184639404352903,0.141798558275786,3,99.3,0
nominal,0.8,1.5,10,3,HYBRID,0.0184639404352903,0.141798558275786,3,99.3,0
10mV_5mA,0.8,1.5,10,1,RLS,1.11495636459111,0.0271091945927784,17,100,0
10mV_5mA,0.8,1.5,10,1,KF,1.23011127632538,0.242039038696986,246,100,0
10mV_5mA,0.8,1.5,10,1,HYBRID,1.23011127632538,0.242039038696986,246,100,0
10mV_5mA,0.8,1.5,10,2,RLS,1.10412538384448,0.462410291511396,27,100,0
10mV_5mA,0.8,1.5,10,2,KF,0.297240817497415,0.565363766215165,34,99,0
10mV_5mA,0.8,1.5,10,2,HYBRID,0.297240817497415,0.565363766215165,34,99,0
10mV_5mA,0.8,1.5,10,3,RLS,2.1581562234314,0.338554286496933,22,100,0
10mV_5mA,0.8,1.5,10,3,KF,2.53806117180302,0.457060448775583,139,22.5,0
10mV_5mA,0.8,1.5,10,3,HYBRID,2.53806117180302,0.457060448775583,139,22.5,0
nominal,0.8,1.5,6.89655172413793,1,RLS,0.178526896110202,0.0555531754423739,2,100,0
nominal,0.8,1.5,6.89655172413793,1,KF,0.182169674979086,0.114558049755326,2,95.5,0
nominal,0.8,1.5,6.89655172413793,1,HYBRID,0.182169674979086,0.114558049755326,2,95.5,0
nominal,0.8,1.5,6.89655172413793,2,RLS,0.057822063323852,0.0573321535495162,3,100,0
