scenario,algorithm,cycle,C_true_factor,ESR_true_factor,C_est_factor,ESR_est_factor
load_25_to_75,B4 Cuk-adapted wavelet-KF,514,1,1,1.00022768316483,0.999945685527604
load_25_to_75,B4 Cuk-adapted wavelet-KF,515,1,1,1.00022423341991,0.999946714210794
load_25_to_75,B4 Cuk-adapted wavelet-KF,516,1,1,1.00022083594385,0.999947723411347
load_25_to_75,B4 Cuk-adapted wavelet-KF,517,1,1,1.0002174899447,0.999948713498253
load_25_to_75,B4 Cuk-adapted wavelet-KF,518,1,1,1.00021419464251,0.999949684833514
load_25_to_75,B4 Cuk-adapted wavelet-KF,519,1,1,1.00021094926914,0.999950637772273
load_25_to_75,B4 Cuk-adapted wavelet-KF,520,1,1,1.00020775306809,0.999951572662949
load_25_to_75,B4 Cuk-adapted wavelet-KF,521,1,1,1.00020460529433,0.999952489847363
load_25_to_75,B4 Cuk-adapted wavelet-KF,522,1,1,1.00020150521411,0.99995338966086
load_25_to_75,B4 Cuk-adapted wavelet-KF,523,1,1,1.00019845210481,0.999954272432435
load_25_to_75,B4 Cuk-adapted wavelet-KF,524,1,1,1.00019544525474,0.999955138484851
load_25_to_75,B4 Cuk-adapted wavelet-KF,525,1,1,1.000192483963,0.999955988134759
load_25_to_75,B4 Cuk-adapted wavelet-KF,526,1,1,1.00018956753931,0.999956821692813
load_25_to_75,B4 Cuk-adapted wavelet-KF,527,1,1,1.00018669530387,0.999957639463782
load_25_to_75,B4 Cuk-adapted wavelet-KF,528,1,1,1.00018386658715,0.999958441746665
load_25_to_75,B4 Cuk-adapted wavelet-KF,529,1,1,1.00018108072976,0.999959228834796
load_25_to_75,B4 Cuk-adapted wavelet-KF,530,1,1,1.00017833708234,0.999960001015956
load_25_to_75,B4 Cuk-adapted wavelet-KF,531,1,1,1.00017563500534,0.999960758572472
load_25_to_75,B4 Cuk-adapted wavelet-KF,532,1,1,1.00017297386889,0.999961501781326
load_25_to_75,B4 Cuk-adapted wavelet-KF,533,1,1,1.0001703530527,0.999962230914256
load_25_to_75,B4 Cuk-adapted wavelet-KF,534,1,1,1.00016777194584,0.999962946237849
load_25_to_75,B4 Cuk-adapted wavelet-KF,535,1,1,1.00016522994666,0.999963648013648
load_25_to_75,B4 Cuk-adapted wavelet-KF,536,1,1,1.00016272646262,0.999964336498238
load_25_to_75,B4 Cuk-adapted wavelet-KF,537,1,1,1.00016026091016,0.999965011943347
load_25_to_75,B4 Cuk-adapted wavelet-KF,538,1,1,1.00015783271455,0.999965674595935
load_25_to_75,B4 Cuk-adapted wavelet-KF,539,1,1,1.00015544130978,0.999966324698285
load_25_to_75,B4 Cuk-adapted wavelet-KF,540,1,1,1.00015308613842,0.99996696248809
load_25_to_75,B4 Cuk-adapted wavelet-KF,541,1,1,1.00015076665148,0.999967588198543
load_25_to_75,B4 Cuk-adapted wavelet-KF,542,1,1,1.00014848230827,0.999968202058419
