case_id,algorithm,noise_profile,skew_ns,seed,C_true_F,ESR_true_ohm,C_est_F,ESR_est_ohm,C_error_percent,ESR_error_percent,C_bias_percent,ESR_bias_percent,C_variance,ESR_variance,convergence_cycles,projection_saturation,failure_flag,failure_reason,mu_C,mu_R
PV1-007,TS-SLTVKE,10mV_5mA,0,23007,9e-05,0.05,8.97547786422449e-05,0.0515983439453724,0.272468175283481,3.19668789074484,-0.272468175283481,3.19668789074484,1.03103335048048e-12,1.39539980534405e-06,124,0,0,,12470.4767597473,2859325.5216484
PV1-007,B0 Closed-form,10mV_5mA,20,33007,9e-05,0.05,9.18248953953825e-05,0.0495694826450984,2.02766155042503,0.861034709803171,2.02766155042503,-0.861034709803171,0.0521730746277985,0.000155858108545168,256,0,0,,12470.4767597473,2859325.5216484
PV1-007,B1 RLS,10mV_5mA,20,33007,9e-05,0.05,9.00838646829295e-05,0.0490510068803972,0.0931829810327757,1.89798623920553,0.0931829810327757,-1.89798623920553,7.86480677261965e-09,0.0256832578856938,51,0,0,,12470.4767597473,2859325.5216484
PV1-007,B2 Augmented EKF,10mV_5mA,20,33007,9e-05,0.05,0.000103069098142677,0.0505872651142691,14.5212201585305,1.17453022853829,14.5212201585305,1.17453022853829,7.50676411732597e-10,7.8222418122001e-06,1024,0,0,,12470.4767597473,2859325.5216484
PV1-007,B3 Dual EKF,10mV_5mA,20,33007,9e-05,0.05,8.9920295048737e-05,0.0487365662648401,0.0885610569589308,2.52686747031973,-0.0885610569589308,-2.52686747031973,1.12767018332792e-12,1.35734602969627e-05,53,0,0,,12470.4767597473,2859325.5216484
PV1-007,B4 Cuk-adapted wavelet-KF,10mV_5mA,20,33007,9e-05,0.05,8.94536026828777e-05,0.0493807875438432,0.607108130135854,1.23842491231352,-0.607108130135854,-1.23842491231352,1.06044837340712e-12,6.35337502969229e-06,64,0,0,,12470.4767597473,2859325.5216484
PV1-007,TS-SLTVKE,10mV_5mA,20,33007,9e-05,0.05,9.0054254363987e-05,0.0501648671647065,0.060282626652263,0.329734329413023,0.060282626652263,0.329734329413023,1.04486295428382e-12,1.39539980534405e-06,157,0,0,,12470.4767597473,2859325.5216484
PV1-007,B0 Closed-form,10mV_5mA,50,43007,9e-05,0.05,8.87848758323471e-05,0.047372251160664,1.35013796405881,5.255497678672,-1.35013796405881,-5.255497678672,0.0487625198614498,0.000152224244326197,256,0,0,,12470.4767597473,2859325.5216484
PV1-007,B1 RLS,10mV_5mA,50,43007,9e-05,0.05,9.01125884685194e-05,0.0499429556600152,0.125098298354902,0.114088679969607,0.125098298354902,-0.114088679969607,7.87484253629124e-09,0.0256832578856938,78,0,0,,12470.4767597473,2859325.5216484
PV1-007,B2 Augmented EKF,10mV_5mA,50,43007,9e-05,0.05,9.59424943322169e-05,0.051408082801757,6.60277148024099,2.81616560351403,6.60277148024099,2.81616560351403,7.05981621166701e-10,7.84270203010934e-06,1024,0,0,,12470.4767597473,2859325.5216484
PV1-007,B3 Dual EKF,10mV_5mA,50,43007,9e-05,0.05,8.96445939370694e-05,0.0497032152230006,0.39489562547843,0.593569553998752,-0.39489562547843,-0.593569553998752,1.11390363657839e-12,1.35734602969627e-05,37,0,0,,12470.4767597473,2859325.5216484
PV1-007,B4 Cuk-adapted wavelet-KF,10mV_5mA,50,43007,9e-05,0.05,8.97550990273445e-05,0.0485096984154461,0.272112191839457,2.98060316910774,-0.272112191839457,-2.98060316910774,1.0748174463925e-12,6.35337502969229e-06,20,0,0,,12470.4767597473,2859325.5216484
PV1-007,TS-SLTVKE,10mV_5mA,50,43007,9e-05,0.05,8.97999015116472e-05,0.0506977221057673,0.222331653725303,1.39544421153455,-0.222331653725303,1.39544421153455,1.03310826076099e-12,1.39539980534405e-06,55,0,0,,12470.4767597473,2859325.5216484
PV1-007,B0 Closed-form,10mV_5mA,100,53007,9e-05,0.05,9.05545018899773e-05,0.047504273317977,0.616113211085919,4.99145336404604,0.616113211085919,-4.99145336404604,0.0605404005455477,0.000181350513797855,256,0,0,,12470.4767597473,2859325.5216484
PV1-007,B1 RLS,10mV_5mA,100,53007,9e-05,0.05,9.01337066997827e-05,0.0497124247239396,0.148562999758599,0.575150552120859,0.148562999758599,-0.575150552120859,7.88222713009045e-09,0.0256832578856938,118,0,0,,12470.4767597473,2859325.5216484
PV1-007,B2 Augmented EKF,10mV_5mA,100,53007,9e-05,0.05,7.90851894850574e-05,0.0502714403389346,12.1275672388251,0.542880677869118,-12.1275672388251,0.542880677869118,6.24629840433182e-10,7.68680510504819e-06,1024,0,0,,12470.4767597473,2859325.5216484
PV1-007,B3 Dual EKF,10mV_5mA,100,53007,9e-05,0.05,9.01963836611395e-05,0.049614905689768,0.21820406793278,0.770188620464102,0.21820406793278,-0.770188620464102,1.14158355906405e-12,1.35734602969627e-05,43,0,0,,12470.4767597473,2859325.5216484
PV1-007,B4 Cuk-adapted wavelet-KF,10mV_5mA,100,53007,9e-05,0.05,8.98399829453743e-05,0.0489346037508811,0.177796727361884,2.13079249823782,-0.177796727361884,-2.13079249823782,1.07888915812705e-12,6.35337502969229e-06,148,0,0,,12470.4767597473,2859325.5216484
PV1-007,TS-SLTVKE,10mV_5mA,100,53007,9e-05,0.05,8.95165682522616e-05,0.050192878491385,0.537146386375992,0.385756982769964,-0.537146386375992,0.385756982769964,1.02013134218174e-12,1.39539980534405e-06,84,0,0,,12470.4767597473,2859325.5216484
PV1-007,B0 Closed-form,F28379D_device_realistic,0,24007,9e-05,0.05,9.0002494943451e-05,0.0491008968903504,0.00277215939003164,1.79820621929921,0.00277215939003164,-1.79820621929921,0.00296896509650516,1.04950344708753e-05,256,0,0,,257654.478507176,59073465.6713188
PV1-007,B1 RLS,F28379D_device_realistic,0,24007,9e-05,0.05,8.98958009251668e-05,0.0501837124948407,0.115776749814661,0.367424989681453,-0.115776749814661,0.367424989681453,7.79933623174504e-09,0.0256832578856938,13,0,0,,257654.478507176,59073465.6713188
PV1-007,B2 Augmented EKF,F28379D_device_realistic,0,24007,9e-05,0.05,8.9313413470689e-05,0.0495870337875816,0.762873921456682,0.825932424836751,-0.762873921456682,-0.825932424836751,5.07364479494812e-10,4.15473644847057e-06,1024,0,0,,257654.478507176,59073465.6713188
