test_id,model_type,Vin,D,load_percent,fs_Hz,C_true_F,ESR_true_Ohm,noise_SNR_dB,adc_bits,samples_per_cycle,sync_error_s,ESL_H,method,C_est_F,C_MAPE_percent,ESR_est_Ohm,ESR_MAPE_percent,convergence_time_s,rank_Phi,cond_Phi,rank_Obs,cond_Obs,min_singular_Obs,status,notes
OP_44_2,Model_A,24,0.55,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF_adaptive,NaN,0.00938374992616176,NaN,1.09126216345317,1.10000000000002e-05,2,1.00235410428513,3,13080.2411020047,0.000596575158564047,PASS,CCM operating sweep; load fraction=0.75
OP_45_1,Model_A,24,0.55,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,NaN,0.000593447390029311,NaN,0.182170930813308,NaN,2,1.00102965338166,3,24009.9550522285,0.000425958367266315,PASS,CCM operating sweep; load fraction=1
OP_45_2,Model_A,24,0.55,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF_adaptive,NaN,0.00584215200609695,NaN,1.08646311257573,1.10000000000002e-05,2,1.00102965338166,3,24009.9550522285,0.000425958367266315,PASS,CCM operating sweep; load fraction=1
OP_46_DCM,Model_A,24,0.65,100,50000,0.0001,0.05,NaN,NaN,200,0,0,not_evaluated,NaN,NaN,NaN,NaN,NaN,2,1.10730595620451,NaN,NaN,NaN,EXCLUDED_DCM,Estimator claims scoped to CCM; load fraction=0.1
OP_47_1,Model_A,24,0.65,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,NaN,0.00993282411956287,NaN,0.879574288142193,NaN,2,1.01294489294439,3,6574.53443399366,0.000805608021296893,PASS,CCM operating sweep; load fraction=0.25
OP_47_2,Model_A,24,0.65,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF_adaptive,NaN,0.014810448942093,NaN,1.10509696869736,0.0001889,2,1.01294489294439,3,6574.53443399366,0.000805608021296893,PASS,CCM operating sweep; load fraction=0.25
OP_48_1,Model_A,24,0.65,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,NaN,0.00103041605592491,NaN,0.202657144133167,NaN,2,1.00230953362049,3,18488.3447816973,0.000547719220022664,PASS,CCM operating sweep; load fraction=0.5
OP_48_2,Model_A,24,0.65,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF_adaptive,NaN,0.0133836801479603,NaN,1.0972550983509,1.31000000000003e-05,2,1.00230953362049,3,18488.3447816973,0.000547719220022664,PASS,CCM operating sweep; load fraction=0.5
OP_49_1,Model_A,24,0.65,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,NaN,0.000372964342199023,NaN,0.0872495659634542,NaN,2,1.00067035445931,3,51463.0590715037,0.000330615168978637,PASS,CCM operating sweep; load fraction=0.75
OP_49_2,Model_A,24,0.65,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF_adaptive,NaN,0.0107914093776085,NaN,1.08372035838424,1.31000000000003e-05,2,1.00067035445931,3,51463.0590715037,0.000330615168978637,PASS,CCM operating sweep; load fraction=0.75
OP_50_1,Model_A,24,0.65,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,NaN,0.000196900728755001,NaN,0.0484624416878687,NaN,2,1.00015698115509,3,109167.981344026,0.000216425201755122,PASS,CCM operating sweep; load fraction=1
OP_50_2,Model_A,24,0.65,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF_adaptive,NaN,0.00843868162403449,NaN,1.07220441234995,1.31000000000003e-05,2,1.00015698115509,3,109167.981344026,0.000216425201755122,PASS,CCM operating sweep; load fraction=1
OP_51_DCM,Model_A,28.8,0.25,100,50000,0.0001,0.05,NaN,NaN,200,0,0,not_evaluated,NaN,NaN,NaN,NaN,NaN,2,1.08400610482796,NaN,NaN,NaN,EXCLUDED_DCM,Estimator claims scoped to CCM; load fraction=0.1
OP_52_DCM,Model_A,28.8,0.25,100,50000,0.0001,0.05,NaN,NaN,200,0,0,not_evaluated,NaN,NaN,NaN,NaN,NaN,2,1.0443641271032,NaN,NaN,NaN,EXCLUDED_DCM,Estimator claims scoped to CCM; load fraction=0.25
OP_53_DCM,Model_A,28.8,0.25,100,50000,0.0001,0.05,NaN,NaN,200,0,0,not_evaluated,NaN,NaN,NaN,NaN,NaN,2,1.01781886186304,NaN,NaN,NaN,EXCLUDED_DCM,Estimator claims scoped to CCM; load fraction=0.5
OP_54_1,Model_A,28.8,0.25,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,NaN,0.0669847969581583,NaN,5.85441372761744,NaN,2,1.00874401658819,3,9694.38571457516,0.000347819485270975,FAIL,CCM operating sweep; load fraction=0.75
OP_54_2,Model_A,28.8,0.25,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF_adaptive,NaN,0.202129067605106,NaN,1.02505879436348,5.00000000000023e-06,2,1.00874401658819,3,9694.38571457516,0.000347819485270975,PASS,CCM operating sweep; load fraction=0.75
OP_55_1,Model_A,28.8,0.25,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,NaN,0.0332725717926974,NaN,3.75781302342275,NaN,2,1.00493141946424,3,10051.1675384306,0.000345731243951898,PASS,CCM operating sweep; load fraction=1
OP_55_2,Model_A,28.8,0.25,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF_adaptive,NaN,0.155579409387996,NaN,1.02591618779141,5.00000000000023e-06,2,1.00493141946424,3,10051.1675384306,0.000345731243951898,PASS,CCM operating sweep; load fraction=1
OP_56_DCM,Model_A,28.8,0.35,100,50000,0.0001,0.05,NaN,NaN,200,0,0,not_evaluated,NaN,NaN,NaN,NaN,NaN,2,1.10382164449426,NaN,NaN,NaN,EXCLUDED_DCM,Estimator claims scoped to CCM; load fraction=0.1
