adc_bits,voltage_LSB_V,current_LSB_A,samples_per_cycle,sample_phase_fraction,method,pre_projection_C_F,pre_projection_ESR_Ohm,C_est_F,C_MAPE_percent,ESR_est_Ohm,ESR_MAPE_percent,status,edge_window_us,edge_points_per_side
12,0.0244200244200244,0.00244200244200244,12,0.625,TR_TS_LTVKF,7.97887534811169e-05,0.0513944999968313,8.46709556145177e-05,15.3290443854823,0.0508119306244458,1.62386124889153,FAIL,5,3
12,0.0244200244200244,0.00244200244200244,12,0.6875,old_TS_LTVKF,0.00015,0.0544496943751181,0.00015,50,0.0544496943751181,8.89938875023615,FAIL,5,3
12,0.0244200244200244,0.00244200244200244,12,0.6875,TR_TS_LTVKF,7.9416248606047e-05,0.0474148726223756,8.4354906226958e-05,15.645093773042,0.0507752256561129,1.55045131222589,FAIL,5,3
12,0.0244200244200244,0.00244200244200244,12,0.75,old_TS_LTVKF,0.00015,0.0554636270152561,0.00015,50,0.0554636270152561,10.9272540305123,FAIL,5,3
12,0.0244200244200244,0.00244200244200244,12,0.75,TR_TS_LTVKF,9.57927754690363e-05,0.0521895753168052,9.58426149118947e-05,4.1573850881053,0.0504231821085053,0.846364217010676,FAIL,5,3
12,0.0244200244200244,0.00244200244200244,12,0.8125,old_TS_LTVKF,0.00015,0.0502026474625913,0.00015,50,0.0502026474625913,0.405294925182575,FAIL,5,3
12,0.0244200244200244,0.00244200244200244,12,0.8125,TR_TS_LTVKF,9.58072059897079e-05,0.0484758889339496,9.58580444378116e-05,4.14195556218843,0.0503031318360985,0.606263672197049,FAIL,5,3
12,0.0244200244200244,0.00244200244200244,12,0.875,old_TS_LTVKF,0.00015,0.0492262810279902,0.00015,50,0.0492262810279902,1.54743794401958,FAIL,5,3
12,0.0244200244200244,0.00244200244200244,12,0.875,TR_TS_LTVKF,9.58235131737085e-05,0.0476337634525827,9.58467242383865e-05,4.15327576161346,0.0504597349245987,0.91946984919733,FAIL,5,3
12,0.0244200244200244,0.00244200244200244,12,0.9375,old_TS_LTVKF,0.00015,0.0519253909232534,0.00015,50,0.0519253909232534,3.85078184650673,FAIL,5,3
12,0.0244200244200244,0.00244200244200244,12,0.9375,TR_TS_LTVKF,0.000103937323410105,0.0445163319038473,9.86186414832707e-05,1.38135851672926,0.0503909843598554,0.781968719710835,PASS,5,3
12,0.0244200244200244,0.00244200244200244,16,0,old_TS_LTVKF,0.00015,0.0478382021539985,0.00015,50,0.0478382021539985,4.32359569200294,FAIL,3.75,3
12,0.0244200244200244,0.00244200244200244,16,0,TR_TS_LTVKF,0.000108552970138722,0.0519199193600868,0.000106138065816027,6.13806581602716,0.0509200450111672,1.84009002233445,FAIL,3.75,3
12,0.0244200244200244,0.00244200244200244,16,0.0625,old_TS_LTVKF,0.00015,0.0531309192941007,0.00015,50,0.0531309192941007,6.26183858820131,FAIL,3.75,3
12,0.0244200244200244,0.00244200244200244,16,0.0625,TR_TS_LTVKF,0.000103917219449783,0.0528512952568599,0.000102196939045332,2.19693904533202,0.0517182651151082,3.43653023021635,PASS,3.75,3
12,0.0244200244200244,0.00244200244200244,16,0.125,old_TS_LTVKF,0.00015,0.05115130246604,0.00015,50,0.05115130246604,2.30260493208003,FAIL,3.75,3
