test_id,Vin_V,D,load_fraction,measurement_type,NIS_mean,NIS_median,NIS_p95,rejected_fraction,NIS_gate,R_V,R_C_floor,R_R_floor
17,19.2,0.55,0.25,V,0.0551114900491929,3.77704252598047e-06,0.174263223747968,0.004,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
17,19.2,0.55,0.25,C,0.00385079985526017,0.0006631230415359,0.00188456654924061,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
17,19.2,0.55,0.25,R,0.00577595485281299,0.00158662155736007,0.0146982275091479,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
18,19.2,0.55,0.5,V,0.201867259001461,1.12609640003138e-06,1.29265269079161,0.00705263157894742,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
18,19.2,0.55,0.5,C,0.00334784798244356,0.000199316291307333,0.000493119845982371,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
18,19.2,0.55,0.5,R,0.00427049558529566,0.00139571105050156,0.0116615474189345,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
19,19.2,0.55,0.75,V,0.584236546661337,5.48096237353322e-07,5.43890228407337,0.0249473684210526,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
19,19.2,0.55,0.75,C,0.00323935736985404,9.64158782526424e-05,0.000211814672002647,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
19,19.2,0.55,0.75,R,0.00355342076271123,0.000807960322514702,0.00798040379464901,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
20,19.2,0.55,1,V,1.50219208446507,3.74586192701425e-07,10.7915825931768,0.0845263157894737,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
20,19.2,0.55,1,C,0.00320025400921306,5.57989861642894e-05,0.000119975910465849,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
20,19.2,0.55,1,R,0.00320077388590544,0.000586808681413048,0.00676945863996524,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
22,19.2,0.65,0.25,V,0.237657672453355,3.81548225340066e-06,1.19372470946706,0.00936842105263158,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
22,19.2,0.65,0.25,C,0.00408023536574888,0.00106853577656265,0.00212642316749541,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
22,19.2,0.65,0.25,R,0.00604141567791347,0.00263232552313835,0.0161544317229141,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
23,19.2,0.65,0.5,V,1.54689730521774,1.14777749366513e-06,10.963136196018,0.0868421052631579,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
23,19.2,0.65,0.5,C,0.00338297528074952,0.000208825471337462,0.000563043302365036,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
23,19.2,0.65,0.5,R,0.0046418531175863,0.00120498350080455,0.0129864836782618,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
